,Attribute,Label,Description,Required,Cond_Req,Valid Values,Conditional Requirements,Component
reagentWeblink,reagentWeblink,ReagentWeblink,An internet address that may provide details of an assay reagent.,False,,,,Genotyping
studyCode,studyCode,StudyCode,"Unique identifier for the study, assigned by the DCC",True,,"['LC', 'ILO', 'LG', 'LLFS']",,IndividualHuman
ethnicity,ethnicity,Ethnicity,Ethnicity of individual,True,,"['Not applicable', 'Other', 'Not Hispanic or latino', 'Unknown', 'Prefer not to answer', 'Hispanic or latino', 'Not collected']",,IndividualHuman
visitCode,visitCode,VisitCode,"Indicate which longitudinal visit for the individual the data comes from, provided by the data contributor's data dictionary",True,,,,IndividualHuman
diagnosisStatus,diagnosisStatus,DiagnosisStatus,"Whether the individual has been diagnosed with a condition or disease (physical and/or cognitive), ""True"" indicates the individual has been diagnosed",True,,"['Not applicable', 'TRUE', 'Unknown', 'FALSE', 'Not collected']",,IndividualHuman
race,race,Race,Race of individual,True,,,,IndividualHuman
individualID,individualID,IndividualID,"Identifying string linked to the individual or animal being studied, provided by the data contributor",True,,,,IndividualHuman
speciesGroup,speciesGroup,SpeciesGroup,The taxonomic ranking including both species and subspecies the individual belongs to.,True,,"['Human', 'Primate', 'Not applicable', 'Mammal', 'Other', 'Rodent', 'Unknown', 'Bird', 'Not collected']",,IndividualHuman
consentGroupID,consentGroupID,ConsentGroupID,"Indicate the consent group for the individual, provided by the data contributor's data dictionary",True,,"['3', '2', '1']",,IndividualHuman
ethnicGroupCode,ethnicGroupCode,EthnicGroupCode,"A coded value specifying the self-declared ethnic origination independent of racial origination, provided by the data contributor's data dictionary",False,,,,IndividualHuman
fieldCenterCode,fieldCenterCode,FieldCenterCode,Name of the field center ,True,,"['DK', 'NY', 'Not applicable', 'PT', 'Other', 'BU', 'Unknown', 'Not collected']",,IndividualHuman
Component,Component,Component,TBD,False,,,,IndividualHuman
diagnosis,diagnosis,Diagnosis,Indicate the disease or condition.,False,,,,IndividualHuman
countryCode,countryCode,CountryCode,"Indicate the geographic region for the individual (shown as ex. ""840"")",True,,"['536', '208', '862', '882', '226', '050', '496', '074', '524', '308', '638', '678', 'ECS', '112', '876', '340', 'Not applicable', '233', '454', '818', '372', '582', '254', '239', '100', '800', '694', '204', '585', '174', '598', '659', '826', '076', '348', '430', '706', '166', '612', '784', '780', '533', '704', '462', '732', '414', '834', '458', '418', '798', '404', '084', '332', '178', '583', '838', '070', '530', '624', '364', '328', '762', '840', '660', '258', '260', '180', 'EAS', '056', '634', '839', '031', '898', '080', '032', '376', '768', '132', '756', '230', '398', '222', '380', '246', '566', '554', '682', '860', '352', '490', '232', '492', 'MEA', '058', '504', '666', '702', '837', '336', '096', '148', '512', '580', '200', '670', '891', '608', '716', '266', '292', '600', '188', '484', '586', '591', '642', '203', '548', '894', '710', '048', '262', '162', '788', '854', '275', '516', '344', '574', '152', '124', '562', '748', '334', '052', '616', '776', '422', '434', '024', '040', '090', '170', '578', '092', '772', '108', '242', '120', '760', '324', '498', '531', '276', '604', '662', '558', '175', '478', '499', '016', 'NAC', '442', '296', '440', '008', '724', '804', '051', '570', '703', '214', '528', '792', '470', '540', '736', '796', '508', '231', '388', '304', '474', '144', '690', '890', '392', '858', '104', 'SSF', '270', '740', '626', '320', '752', 'Not collected', '268', '196', '500', '060', '643', 'Other', '020', '212', '028', '238', '312', '356', '156', '764', '010', '072', '140', '410', '887', '368', '300', '234', '400', 'LCN', '654', '428', '705', '426', '807', '064', '480', '068', '620', '581', '466', '250', '446', 'SAS', '278', '795', '535', '849', '584', '728', '450', '184', '720', '810', '004', '136', '000', '408', '012', '192', '384', '674', '686', '646', '044', '288', '116', '218', '360', '417', '086', '729', '316', 'Unknown', '520', '191', '534', '036']",,IndividualHuman
age,age,Age,"Age of the individual (age in years of the individual at first recorded study event (enrollment, visit, observation, sample collection, survey completion, etc.)",True,,,,IndividualHuman
cohort,cohort,Cohort,Name of the cohort the individual belongs to,True,,"['and Body Composition Study (HealthABC)', 'Not applicable', 'Cardiovascular Health Study (CHS)', 'Other', 'The Health', 'US Family', 'Unknown', 'Study of Osteoporotic Fractures (SOF)', 'Centenarian', 'The Osteoporotic Fractures in Men (MrOS) Study', 'Aging', 'Denmark Family', 'Not collected']",,IndividualHuman
sex,sex,Sex,The biological sex of the individual,True,,"['Not applicable', 'Other', 'Unknown', 'Female', 'Male', 'Not collected']",,IndividualHuman
samplingAge,samplingAge,SamplingAge,"The calculated age of the sample, measurement is determined or coded by the data contributor. ",True,,,,BiospecimennonHuman
dataGenerationSite,dataGenerationSite,DataGenerationSite,The place where data from a particular specimen was generated.,False,,,,BiospecimennonHuman
isPostMortem,isPostMortem,IsPostMortem,Was the sample taken after death (true/false),True,,"['Not applicable', 'TRUE', 'Other', 'Uknown', 'FALSE', 'Not collected']",,BiospecimennonHuman
specimenAge,specimenAge,SpecimenAge,The subject's age at the time of specimen extraction is the individual's age (since birth) at the time a given specimen was extracted. Measured as age in years.,True,,,,BiospecimennonHuman
