Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
lensVoltagesUnit ,Unit of lens voltages,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,False,Metabolomics Human,"mass spec metabolmics,hasIonizationSource? = Yes,lensVoltages","Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
measurementTechnique,The measurement technique describing the assay method,"16S rRNA gene sequencing,1D Gel,2D Gel,Array,B cell receptor repertoire sequencing assay,Cell Culture,Circular Dichroism,CyTOF,Cytometric Bead Array Assay,DNA methylation profiling assay,DNA microarray,ELISA,ELISPOT,EMSA,Exome Sequencing,Flow Cytometry,Fluorescent Antibody Procedure,Hemagglutination Inhibition,HLA Typing,HPLC,Immunoblot,Immunoprecipitation,in situ Hybridization,KIR Typing,Line Probe Assay,Liquid Chromatography,Luminex xMAP,Mass Spectrometry,Meso Scale Discovery ECL,microRNA profiling assay,Microscopy,Mixed Lymphocyte Reaction,Molecular Cloning,Nanostring,Neutralizing Antibody Titer Assay,NMR,Northern Blot,O link,Other,PCR,phage display binding assay,Protein microarray,Q-PCR,Real time polymerase chain reaction assay,RNA sequencing,Rnase Protection Assay,Sequencing,SNP microarray,SOMAscan,Southern Blot,Surface Plasmon Resonance,T cell receptor repertoire sequencing assay,TCID50,Transcription profiling assay,Transcription profiling by array,Virus Neutralization,Western Blot,Whole Genome Sequencing,Yeast Two Hybrid",,,True,Metabolomics Human,mass spec metabolmics,Sage Bionetworks,
msAnalyteType,the type of biospecimen subjected to analysis,"protein,metabolite,lipid,Other,Unknown,Not collected,Not applicable,Not specified",,,False,Metabolomics Human,"mass spec metabolmics,msTarget = Targeted",http://purl.obolibrary.org/obo/NCIT_C156434,
msAnalyzerTypeMS1,"Describes the mass spectrometer analyzer used to read out parent ions (quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)","LTQ Orbitrap XL,Orbitrap Fusion,Orbitrap Fusion Lumos,Q Exactive,Q Exactive HF,Q Exactive HF-X,Q Exactive Plus,Exploris 240Exploris 480quadrupole time-of-flight,time-of-flight,triple quadrupole,Xevo G2 QTOF,Xevo TQ-S,Bruker Avance IIITimsTOF ProOther,Unknown,Not collected,Not applicable,Not specified",,,True,Metabolomics Human,mass spec metabolmics,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
msAnalyzerTypeMS2,"Describes the mass spectrometer analyzer used to read out fragment ions(quadrupole, ion-trap, time-of-flight, FT-ICR, including combinations of these for hybrid instruments)","LTQ Orbitrap XL,Orbitrap Fusion,Orbitrap Fusion Lumos,Q Exactive,Q Exactive HF,Q Exactive HF-X,Q Exactive Plus,Exploris 240Exploris 480quadrupole time-of-flight,time-of-flight,triple quadrupole,Xevo G2 QTOF,Xevo TQ-S,Bruker Avance IIITimsTOF ProOther,Unknown,Not collected,Not applicable,Not specified",,,True,Metabolomics Human,mass spec metabolmics,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
msAssayTechnique,Specified the mass spectrometer technique used,"DDA-MS,DIA-MS,FIA-MSMS,HPLC-MSMS,LC-MS,LC-MSMS,MDMS-SL,MIB-MS,UPLC-MSMS,UPLC-ESI-QTOF-MS,LC-SRMOther,Unknown,Not collected,Not applicable,Not specified",,,True,Metabolomics Human,mass spec metabolmics,"Sage Bionetworks,DSLWG",
msInstrumentModel,The model of the mass spectrometer  used,"Possible values are listed under the instrument model term.Other,Unknown,Not collected,Not applicable,Not specified",,,True,Metabolomics Human,mass spec metabolmics,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry  ",
msTarget,specifies whether or not a specific molecule(s) is/are targeted for detection/measurement by the assay,"Targeted,Untargeted,Unknown,Not collected,Not applicable,Not specified",,,True,Metabolomics Human,mass spec metabolmics,Sage Bionetworks,
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor","10x Visium Spatial Gene Expression,​​Affymetrix Genome-Wide Human SNP 5.0 Array,Affymetrix Genome-Wide Human SNP 6.0 Array,Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Genome U133 Plus 2.0 Array,Affymetrix U133AB,Agilent 44Karray,BGISEQ-500,Bionano Irys,Cherry Imaging FACE Platform,Cherry Imaging TRACE Platform,Chromium X,EnVision 2103 Multiplate Reader,Illumina 1M,Illumina Genome Analyzer IIx,Illumina h650,Illumina HiSeq 2000,Illumina HiSeq 2500,Illumina HiSeq 3000,Illumina HiSeq 4000,Illumina HiSeq X,Illumina Human660W-Quad v1.0 BeadChip,Illumina HumanHap300,Illumina HumanMethylation450,Illumina HumanOmni1-Quadv1.0,Illumina HumanOmniExpress-24 v1.0 BeadChip,Illumina HumanOmniExpress-24 v1.2 BeadChip,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq,Illumina MouseWG-6 v2.0 expression BeadChip,Illumina NextSeq 1000,Illumina NextSeq 2000,Illumina NextSeq 500,Illumina NextSeq 550,Illumina NovaSeq 6000,Illumina Omni2pt5M,Illumina Omni5M,Illumina WholeGenome DASL,Infinium HumanOmniExpressExome,LI-COR Odyssey CLx,LifeViz Infinity System,LifeViz Micro System,LTQ Orbitrap XL,Nanostring Counter,Nanostring GeoMx,Olympus DP80,Orbitrap Fusion Lumos Tribrid,PacBio RS II,PacBio Sequel II System,PacBio Sequel IIe System,Perlegen 300Karray,Promega GloMax Discover,Q Exative HF,scale,Spectramax M Series,Vectra H1 3D Imaging System,Vevo 3100 Imaging System,Zeiss LSM 980Other,OtherUnknown,Not collected,Not applicable,Not specified",,,True,Metabolomics Human,mass spec metabolmics,Sage Bionetworks,
processingBatchID,"Processing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,False,Metabolomics Human,mass spec metabolmics,Sage Bionetworks,
processingBatchSize,The number of samples,,,,False,Metabolomics Human,mass spec metabolmics,Sage Bionetworks,
processingBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,False,Metabolomics Human,"mass spec metabolmics,processingBatchSize",Sage Bionetworks,
sampleBatchID,"Sample batch lot identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",,,,False,Metabolomics Human,mass spec metabolmics,http://purl.obolibrary.org/obo/MS_1000053,
sampleBatchSize,The number of samples,,,,False,Metabolomics Human,mass spec metabolmics,Sage Bionetworks,
sampleBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,False,Metabolomics Human,"mass spec metabolmics,sampleBatchSize",Sage Bionetworks,
sampleIntroduction,"The sample introduction and delivery. From GC, from LC, direct infusion without chromatography, direct infusion using dedicated autosampler flow rate.","Other,Unknown,Not collected,Not applicable,Not specified",,,True,Metabolomics Human,mass spec metabolmics,"Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry  ",
samplePrepProtocol,An internet address that may provide more details of the protocol information (web link),,,,False,Metabolomics Human,mass spec metabolmics,Sage Bionetworks,
sampleType,The type of sample collected,"Amniotic Fluid,Appendix,B cell,Basophils,Bone,Bone Marrow,Brachial lymph node,brain,Breast Milk,Bronchoalveolar Lavage Fluid,Carbohydrate,Cell culture supernatant,cell line,Cerebrospinal Fluid,Cervical lymph nodes,Colon,Colonic Lamina Propria,Convalescent Plasma,Cord blood,Dendritic cell,Dermis,DNA,Dried Blood Spot,Endotracheal aspirate,Epithelium,Feces,Fibroblast,Gastric lamina propria,Ileum,Inguinal lymph node,Jejunum,Kidney,Leukocytes,Lipid,Liver,Lung,Lung lymph node,Lymph node,Lymphocyte,Macrophage,Mesenteric lymph node,Monocyte,Mouse Ear,Nasal lavage fluid,Nasal Swab,Nasal Swab or Nose Specimen,Nasopharyngeal Swab Specimen,Negative Control,Neutrophil,NK cell,Not Specified,Optic Nerve,Organoids,Oropharyngeal Swab Specimen,Osteoblasts,Other,Pancreas,Pancreatic Stellate Cells,PBL,PBMC,Placenta,Plasma,Pooled Sample,Popliteal lymph node,Positive Control,Protein,Rectal Swab Specimen,Red Blood Cell,Saliva,Salivary Glands,Serum,Skin of body,Small intestine,Spleen,Sputum,Stomach,Synovial fluid,Synovial tissue,T cell,Thymus,Tonsil,Trachea,Tumor Tissue,Umbilical cord blood,Urinary bladder,Urine,Vagina,Whole blood",,,True,Metabolomics Human,mass spec metabolmics,"Sage Bionetworks,ImmPort",
specifyAcquisitionBatchSizeUnits,"If ""other"" list units of measure",,,,False,Metabolomics Human,"mass spec metabolomics,acquisitionBatchSizeUnit = other ",,
specifyBatchSizeUnits,"If ""other"" list the unit of measure",,,,False,Metabolomics Human,"mass spec metabolomics,batchSizeUnit = other",Sage Bionetworks,
specifyControlType,"If ""other"" specify the control type",,,,False,Metabolomics Human,"mass spec metabolomics,controlType =other",Sage Bionetworks,
specifyDatabaseName,"If ""other"" list the name of the search database",,,,False,Metabolomics Human,"mass spec metabolomics,databaseName = other",Sage Bionetworks,
specifyDatabaseSource,"If ""other"" list the name of the database source",,,,False,Metabolomics Human,"mass spec metablomics,databaseSource = other",Sage Bionetworks,
specifyExperimentalBatchSizeUnits,"If ""other"" list units of measure",,,,False,Metabolomics Human,"mass spec metabolomics,experimentalBatchSizeUnit = other",,
specifyLensVoltageUnits,"If ""other"" provide the unit of measure",,,,False,Metabolomics Human,"mass spec metabolomics,lensVoltageUnits = other",Sage Bionetworks,
specifyMSAnalyteType,"If ""other"" list the type of analyte ",,,,False,Metabolomics Human,"mass spec metabolomics,msAnalyteType = other",Sage Bionetworks,
specifyMSAnalyzerTypeMS1,"If ""other"" is selected list the name of the mass spectrometer analyzer used",,,,False,Metabolomics Human,"mass specmetabolomics,msAnalyzerTypeMS1 = other",Sage Bionetworks,
specifyMSAnalyzerTypeMS2,"If ""other"" is selected list the name of the mass spectrometer analyzer used",,,,False,Metabolomics Human,"mass spec metabolomics,msAnalyzerTypeMS2 = other",Sage Bionetworks,
specifyMSAssayTechnique,"If ""other"" is selected list the name of the mass spectrometer technique used or the name of the proteomics assay used",,,,False,Metabolomics Human,"mass spec metabolomics,msAssayTechnique = other",Sage Bionetworks,
specifyMSInstrumentModel,"If ""other"" is selected list the name of the instrument model",,,,False,Metabolomics Human,"mass spec metabolomics,msInstrumentModel = other",Sage Bionetworks,
specifyMeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",,,,False,Metabolomics Human,mass spec metabolomicsmeasurementTechnique = other,Sage Bionetworks,
specifyPlatformLocation,"If ""other"" list the name of the platform location",,,,False,Metabolomics Human,"mass spec metabolomics,platformLocation = other",Sage Bionetworks,
specifyPlatformVersion,"If ""other"" list the name of the platform version",,,,False,Metabolomics Human,"mass spec metabolomics,technologyPlatformVersion = other",Sage Bionetworks,
specifyProcessingBatchSizeUnit,"If ""other"" list units of measure",,,,False,Metabolomics Human,"mass spec metabolomics,ProcessingBatchSizeUnit = other",Sage Bionetworks,
specifySampleBatchSizeUnits,"If ""other"" list the unit of measure",,,,False,Metabolomics Human,"mass spec metabolomics,sampleBatchSizeUnit = other",Sage Bionetworks,
specifySampleIntroduction,"If ""other"" list the name of the sample introduction",,,,False,Metabolomics Human,"mass spec metabolomics,sampleIntdocution = other",Sage Bionetworks,
specifySampleType,"If ""other"" is selected list the type of sample",,,,False,Metabolomics Human,"mass spec metabolomics,sampleType = other",Sage Bionetworks,
specifyVacuumPressueUnits,"If ""other"" provide the unit of measure",,,,False,Metabolomics Human,"mass spec metabolomics,vaccumPressureUnits = other",Sage Bionetworks,
specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor",n/a (unique to each data contributor),,,True,Metabolomics Human,"Biospecimen,mass spec metabolomics",Sage Bionetworks,
spectrometerFrequency,The frequency at which a spectrometer causes hydrogen atoms to resonate (in MHz),,,,True,Metabolomics Human,mass spec metabolmics,Sage Bionetworks,
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.","OtherUnknown,Not collected,Not applicable,Not specified",,,True,Metabolomics Human,mass spec metabolmics,http://purl.obolibrary.org/obo/NCIT_C45378,
vacuumPressure,The recorded vacuum pressure value,,,,False,Metabolomics Human,"mass spec metabolmics,hasIonizationSource? = Yes","Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
vacuumPressureUnit,Unit of vacuum pressure value,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,False,Metabolomics Human,"mass spec metabolmics,hasIonizationSource? = Yes,vaccuumPressure","Sage Bionetworks,Proposed minimum metadata relative to mass spectrometry ",
Template Name,Name of the metadata template used,"Clinical,Individual,Biospecimen,WGS,WES,WGBS,Metabolomics,Proteomics,scRNAseq,","Data Category,Experimental Strategy,",,True,Metadata Template,,,
dnaBatchID,"DNA isolation batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not specified",,,True,Microbiome,microbiome,Sage Bionetworks,
dnaBatchSize,The number of samples,,,,True,Microbiome,microbiome,Sage Bionetworks,
dnaBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,True,Microbiome,"microbiome,dnaBatchSize",Sage Bionetworks,
extractionMethod,The name of the process used to separate a desired component of an input material from the remainder,"Other,Unknown,Not collected,Not applicable,Not specified",,,True,Microbiome,microbiome,http://purl.obolibrary.org/obo/OBI_0302884,
isStranded,Whether or not the library is stranded.,falseFalseFALSEtrueTrueTRUE,,,True,Microbiome,microbiome,Sage Bionetworks,
libraryBatchID,"Library batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not specified",,,True,Microbiome,microbiome,Sage Bionetworks,
libraryPrep,The general strategy by which the library was prepared,"amplicon,cellHashing,Chromium Single Cell 3',DNALibraryConstruction,EndItDNAEndRepairKit,KapaHyperPrep,lncRNAenrichment,methylSeq,miRNAenrichment,multiome,MULTIseq,PCRfree,polyAselection,proximity ligation,rRNAdepletion,SPLITseq,STARRSeq,SureCell,totalRNA,Other,Unknown,Not collected,Not applicable,Not specified",,,True,Microbiome,microbiome,Sage Bionetworks,
libraryPreparationMethod,Method by which library was prepared,"10x,CEL-seq,Drop-Seq,NEBNext,NexteraXT,Omni-ATAC,Smart-seq2,Smart-seq4,TruSeqOther,Unknown,Not collected,Not applicable,Not specified",,,True,Microbiome,microbiome,Sage Bionetworks,
libraryVersion,"Library Version: for example, rnaSeq 10x library version","OtherUnknown,Not collected,Not applicable,Not specified",,,True,Microbiome,microbiome,Sage Bionetworks,
measurementTechnique,The measurement technique describing the assay method,"16S rRNA gene sequencing,1D Gel,2D Gel,Array,B cell receptor repertoire sequencing assay,Cell Culture,Circular Dichroism,CyTOF,Cytometric Bead Array Assay,DNA methylation profiling assay,DNA microarray,ELISA,ELISPOT,EMSA,Exome Sequencing,Flow Cytometry,Fluorescent Antibody Procedure,Hemagglutination Inhibition,HLA Typing,HPLC,Immunoblot,Immunoprecipitation,in situ Hybridization,KIR Typing,Line Probe Assay,Liquid Chromatography,Luminex xMAP,Mass Spectrometry,Meso Scale Discovery ECL,microRNA profiling assay,Microscopy,Mixed Lymphocyte Reaction,Molecular Cloning,Nanostring,Neutralizing Antibody Titer Assay,NMR,Northern Blot,O link,Other,PCR,phage display binding assay,Protein microarray,Q-PCR,Real time polymerase chain reaction assay,RNA sequencing,Rnase Protection Assay,Sequencing,SNP microarray,SOMAscan,Southern Blot,Surface Plasmon Resonance,T cell receptor repertoire sequencing assay,TCID50,Transcription profiling assay,Transcription profiling by array,Virus Neutralization,Western Blot,Whole Genome Sequencing,Yeast Two Hybrid",,,True,Microbiome,microbiome,Sage Bionetworks,
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor","Other,Unknown,Not collected,Not applicable,Not specified",,,True,Microbiome,microbiome,Sage Bionetworks,
readLength,The length of the read,,,,True,Microbiome,microbiome,Sage Bionetworks,
readLengthUnits,The units of measurement.,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,True,Microbiome,"microbiome,readLength",Sage Bionetworks,
readStrandOrigin,The strand from which the read originates in a strand-specific protocol,"ForwardReverse,",,,True,Microbiome,microbiome,Sage Bionetworks,
runType,The sequencing run type,"singleEnd,pairedEnd,",,,True,Microbiome,microbiome,Sage Bionetworks,
sampleType,The type of sample collected,"Amniotic Fluid,Appendix,B cell,Basophils,Bone,Bone Marrow,Brachial lymph node,brain,Breast Milk,Bronchoalveolar Lavage Fluid,Carbohydrate,Cell culture supernatant,cell line,Cerebrospinal Fluid,Cervical lymph nodes,Colon,Colonic Lamina Propria,Convalescent Plasma,Cord blood,Dendritic cell,Dermis,DNA,Dried Blood Spot,Endotracheal aspirate,Epithelium,Feces,Fibroblast,Gastric lamina propria,Ileum,Inguinal lymph node,Jejunum,Kidney,Leukocytes,Lipid,Liver,Lung,Lung lymph node,Lymph node,Lymphocyte,Macrophage,Mesenteric lymph node,Monocyte,Mouse Ear,Nasal lavage fluid,Nasal Swab,Nasal Swab or Nose Specimen,Nasopharyngeal Swab Specimen,Negative Control,Neutrophil,NK cell,Not Specified,Optic Nerve,Organoids,Oropharyngeal Swab Specimen,Osteoblasts,Other,Pancreas,Pancreatic Stellate Cells,PBL,PBMC,Placenta,Plasma,Pooled Sample,Popliteal lymph node,Positive Control,Protein,Rectal Swab Specimen,Red Blood Cell,Saliva,Salivary Glands,Serum,Skin of body,Small intestine,Spleen,Sputum,Stomach,Synovial fluid,Synovial tissue,T cell,Thymus,Tonsil,Trachea,Tumor Tissue,Umbilical cord blood,Urinary bladder,Urine,Vagina,Whole blood",,,True,Microbiome,microbiome,"Sage Bionetworks,ImmPort",
sequencingBatchID,"Sequencing batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse","Unknown,Not collected,Not applicable,Not specified",,,True,Microbiome,microbiome,Sage Bionetworks,
sequencingBatchSize,The number of samples,,,,True,Microbiome,microbiome,Sage Bionetworks,
sequencingBatchSizeUnit,The unit of measurement for number of samples in a batch,"AFU,AI,AU/ml,DK units/ml,bpg/dl,g/l,gm,HAU,IU,iu/l,IU/ml,Kallikrein Inactivator Unit per Milliliter,kg,l,M,mg,mg/dl,mg/l,mg/ml,miu/ml,ml,mM,MOI,ng,ng/dl,ng/ml,ng/nl,ng/ul,nl,nM,Not Specified,NPX,optical density,PFU,PFUe,pg,pg/mg creatinine,pg/ml,pg/nl,pg/ul,pl,pM,Pound,TCID50,ug,ug/dl,ug/l,ug/ml,ug/ul,uiu/ml,ul,uM,umol/l,units/ml,other",,,True,Microbiome,"microbiome,sequencingBatchSize",Sage Bionetworks,
specifyDNABatchSizeUnit,"If ""other"" list unit of measure",,,,False,Microbiome,"microbiome,dnaBatchSizeUnit = other",Sage Bionetworks,
specifyExtractionMethod,"If ""other"" list the name of the extraction method",,,,False,Microbiome,"microbiome,extractionMethod = other",Sage Bionetworks,
specifyLibraryPrep,"If ""other"" list the name of the general strategy used to prepare the library",,,,False,Microbiome,"microbiome,libraryPrep = other",Sage Bionetworks,
specifyLibraryPreparationMethod,"If ""other"" list the name of the library preparation methods",,,,False,Microbiome,"microbiome,libraryPreparationMethod = other",Sage Bionetworks,
specifyLibraryVersion,"If ""other"" list the name of the library version",,,,False,Microbiome,"microbiome,libraryVersion = other",Sage Bionetworks,
specifyMeasurementTechnique,"If ""other"" is selected list the name of the measurement technique used",,,,False,Microbiome,"microbiome,measurementTechnique = other",Sage Bionetworks,
specifyPlatformLocation,"If ""other"" list the name of the platform location",,,,False,Microbiome,"microbiome,platformLocation = other",Sage Bionetworks,
specifyPlatformVersion,"If ""other"" list the name of the platform version",,,,False,Microbiome,"microbiome,technologyPlatformVersion = other",Sage Bionetworks,
specifyReadLengthUnits,"If ""other"" provide the unit of measure",,,,False,Microbiome,"microbiome,readLengthUnits = other",Sage Bionetworks,
specifySampleType,"If ""other"" is selected list the type of sample",,,,False,Microbiome,"microbiome,sampleType = other",Sage Bionetworks,
specifySequencingBatchSizeUnit,"If ""other"" list unit of measure",,,,False,Microbiome,"microbiome,sequencingBatchSizeUnit = other",Sage Bionetworks,
specimenID,"Identifying string linked to a particular sample or specimen, provided by the data contributor",n/a (unique to each data contributor),,,True,Microbiome,"Biospecimen,microbiome",Sage Bionetworks,
technologyPlatformVersion,"The specific version (application, manufacturer, model, lab, etc.) of a technology that is used to carry out a laboratory or computational experiment.","10x Visium Spatial Gene Expression,​​Affymetrix Genome-Wide Human SNP 5.0 Array,Affymetrix Genome-Wide Human SNP 6.0 Array,Affymetrix Human Gene 1.0 ST Array,Affymetrix Human Genome U133 Plus 2.0 Array,Affymetrix U133AB,Agilent 44Karray,BGISEQ-500,Bionano Irys,Cherry Imaging FACE Platform,Cherry Imaging TRACE Platform,Chromium X,EnVision 2103 Multiplate Reader,Illumina 1M,Illumina Genome Analyzer IIx,Illumina h650,Illumina HiSeq 2000,Illumina HiSeq 2500,Illumina HiSeq 3000,Illumina HiSeq 4000,Illumina HiSeq X,Illumina Human660W-Quad v1.0 BeadChip,Illumina HumanHap300,Illumina HumanMethylation450,Illumina HumanOmni1-Quadv1.0,Illumina HumanOmniExpress-24 v1.0 BeadChip,Illumina HumanOmniExpress-24 v1.2 BeadChip,Illumina Infinium MethylationEPIC BeadChip v1.0 (850k),Illumina Infinium MethylationEPIC BeadChip v2.0 (935k)Illumina MiSeq,Illumina MouseWG-6 v2.0 expression BeadChip,Illumina NextSeq 1000,Illumina NextSeq 2000,Illumina NextSeq 500,Illumina NextSeq 550,Illumina NovaSeq 6000,Illumina Omni2pt5M,Illumina Omni5M,Illumina WholeGenome DASL,Infinium HumanOmniExpressExome,LI-COR Odyssey CLx,LifeViz Infinity System,LifeViz Micro System,LTQ Orbitrap XL,Nanostring Counter,Nanostring GeoMx,Olympus DP80,Orbitrap Fusion Lumos Tribrid,PacBio RS II,PacBio Sequel II System,PacBio Sequel IIe System,Perlegen 300Karray,Promega GloMax Discover,Q Exative HF,scale,Spectramax M Series,Vectra H1 3D Imaging System,Vevo 3100 Imaging System,Zeiss LSM 980Other,OtherUnknown,Not collected,Not applicable,Not specified",,,True,Microbiome,microbiome,http://purl.obolibrary.org/obo/NCIT_C45378,
totalReads,Total number of sequencing reads from a library,,,,True,Microbiome,microbiome,Sage Bionetworks,
isStranded,Whether or not the library is stranded.,falseFalseFALSEtrueTrueTRUE,,,True,NAseq,RNAseq,Sage Bionetworks,
libraryPreparationMethod,Method by which library was prepared,"10x,Accel-NGS 2S Plus,Accel-NGS Methyl-Seq,CEL-seq,Drop-Seq,NEBNext,NexteraXT,Omni-ATAC,sac-seq,Smart-seq1,Smart-seq2,Smart-seq4,SMRTbell,TruSeq,Ultralow Methyl-Seq,Other,Unknown,Not collected,Not applicable,Not specified",,,True,NAseq,RNAseq,Sage Bionetworks,
libraryVersion,"Library Version: for example, rnaSeq 10x library version","OtherUnknown,Not collected,Not applicable,Not specified",,,True,NAseq,RNAseq,Sage Bionetworks,
measurementTechnique,The measurement technique describing the assay method,"16S rRNA gene sequencing,1D Gel,2D Gel,Array,B cell receptor repertoire sequencing assay,Cell Culture,Circular Dichroism,CyTOF,Cytometric Bead Array Assay,DNA methylation profiling assay,DNA microarray,ELISA,ELISPOT,EMSA,Exome Sequencing,Flow Cytometry,Fluorescent Antibody Procedure,Hemagglutination Inhibition,HLA Typing,HPLC,Immunoblot,Immunoprecipitation,in situ Hybridization,KIR Typing,Line Probe Assay,Liquid Chromatography,Luminex xMAP,Mass Spectrometry,Meso Scale Discovery ECL,microRNA profiling assay,Microscopy,Mixed Lymphocyte Reaction,Molecular Cloning,Nanostring,Neutralizing Antibody Titer Assay,NMR,Northern Blot,O link,Other,PCR,phage display binding assay,Protein microarray,Q-PCR,Real time polymerase chain reaction assay,RNA sequencing,Rnase Protection Assay,Sequencing,SNP microarray,SOMAscan,Southern Blot,Surface Plasmon Resonance,T cell receptor repertoire sequencing assay,TCID50,Transcription profiling assay,Transcription profiling by array,Virus Neutralization,Western Blot,Whole Genome Sequencing,Yeast Two Hybrid",,,True,NAseq,RNAseq,Sage Bionetworks,
platformLocation,"The name of the laboratory, facility, vendor, company, or location where the data generation platform was located, provided by the data contributor","Other,Unknown,Not collected,Not applicable,Not specified",,,True,NAseq,RNAseq,Sage Bionetworks,
readLength,Number of base pairs (bp) sequenced for a read,,,,True,NAseq,RNAseq,Sage Bionetworks,
